Course_Name,School_Level,Course_Level,Modality,Instructor,Time,RecordedDate,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q23_1,Q23_2,Q23_3,Q17_Gender,Q18_Politics,Q19_PatronSBUX,Q20_PatronCompetition
ACCT 7109_F18,G,Advanced,H,JF,379,12/2/2018 16:18,4,4,6,6,6,6,6,6,4,6,6,6,5,6,6,6,6,7,6,6,7,7,4,4,6,6,6,7,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,4,,,,
ACCT 7109_F18,G,Advanced,H,JF,702,12/2/2018 18:20,2,2,1,3,3,2,2,2,2,3,3,3,2,1,1,1,2,2,3,1,2,2,2,3,1,2,2,2,1,2,1,2,3,2,1,1,2,2,2,1,2,1,2,4,4,3,1,1,1,2,2,1,,,,
ACCT 7109_F18,G,Advanced,H,JF,1276,12/2/2018 18:50,1,2,2,4,4,3,2,3,2,2,3,3,2,3,3,3,2,2,3,2,3,2,3,2,2,1,2,3,2,2,3,3,6,3,2,2,2,2,2,2,2,1,2,6,3,2,6,3,1,2,2,2,,,,
ACCT 7109_F18,G,Advanced,H,JF,217,12/2/2018 20:10,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,1,2,2,2,1,1,2,2,6,7,7,7,7,6,2,2,1,2,1,1,2,1,2,2,1,3,1,1,1,1,1,1,,,,
ACCT 7109_F18,G,Advanced,H,JF,356,12/3/2018 7:45,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,1,1,3,3,3,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,,,,
ACCT 7109_F18,G,Advanced,H,JF,474,12/3/2018 9:34,4,4,5,4,4,5,5,4,5,5,5,4,4,4,5,5,4,3,5,5,5,5,3,5,4,4,3,5,3,5,5,5,5,5,2,2,5,5,3,3,4,3,3,2,2,2,4,4,4,4,5,3,,,,
ACCT 7109_F18,G,Advanced,H,JF,292,12/3/2018 9:58,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
ACCT 7109_F18,G,Advanced,H,JF,179,12/3/2018 11:23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
ACCT 7109_F18,G,Advanced,H,JF,185,12/4/2018 14:06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,,,,
ACCT 7109_F18,G,Advanced,H,JF,193,12/6/2018 20:36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
ACCT 7109_F18,G,Advanced,H,JF,40716,12/6/2018 21:02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
ACCT 7109_F18,G,Advanced,H,JF,2416,12/7/2018 8:52,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,4,2,3,2,2,1,2,2,1,,,,
ACCT 7109_F18,G,Advanced,H,JF,106,12/7/2018 13:15,4,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,4,5,4,4,5,5,5,4,3,3,4,3,4,3,3,4,4,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,320,5/9/2019 7:46,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,1,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,302,5/9/2019 9:31,5,5,1,5,6,1,1,1,1,1,1,1,1,1,1,1,2,5,6,6,6,6,2,6,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,1,5,1,3,2,2,2,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,204,5/9/2019 10:39,2,3,3,2,2,3,3,4,4,5,5,5,4,5,5,5,2,3,4,4,3,3,3,4,2,3,3,4,3,4,3,3,4,3,4,4,5,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,152,5/9/2019 12:25,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,2,1,7,7,5,6,4,6,5,5,3,6,7,7,7,7,6,6,7,5,4,7,7,7,7,7,7,7,5,5,6,5,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,215,5/9/2019 12:27,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,288,5/9/2019 12:28,2,2,3,1,2,4,2,3,2,2,2,2,2,1,4,3,3,4,2,2,3,2,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,2,3,2,3,3,2,3,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,274,5/9/2019 12:29,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,3,2,2,3,3,2,3,3,2,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,358,5/9/2019 12:29,2,2,2,4,2,4,2,2,1,2,2,1,1,2,2,2,2,3,1,2,2,2,3,2,4,2,1,2,2,2,4,4,4,4,2,2,1,2,2,1,2,2,2,2,1,3,2,2,4,2,2,3,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,320,5/9/2019 12:30,4,3,4,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,2,2,2,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,340,5/9/2019 12:30,2,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,5,4,3,2,6,2,1,2,3,2,2,2,1,1,1,2,3,1,1,1,2,2,1,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,362,5/9/2019 12:31,6,4,3,6,5,3,3,5,3,2,2,2,4,5,3,2,7,6,3,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,6,7,5,3,5,4,5,4,3,3,4,3,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,409,5/9/2019 12:31,2,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,431,5/9/2019 12:32,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,3,3,3,5,2,2,3,2,2,2,3,2,2,1,1,1,2,2,2,2,2,3,3,3,2,2,2,1,2,3,2,1,3,3,2,1,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,476,5/9/2019 12:32,4,3,2,3,3,4,3,3,4,5,3,5,4,6,4,5,4,4,3,2,3,4,3,2,4,3,3,3,2,2,2,2,3,3,2,2,3,2,2,2,2,2,6,3,3,6,2,2,2,2,2,2,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,474,5/9/2019 12:32,3,3,1,3,4,2,2,1,1,2,2,1,1,2,3,3,3,3,1,2,2,2,3,3,4,1,4,3,4,4,4,4,4,1,2,2,5,3,5,4,4,4,3,4,4,6,2,3,3,2,2,2,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,337,5/9/2019 12:33,4,3,2,4,3,5,5,2,2,6,6,5,2,5,2,2,1,4,1,1,1,1,3,3,3,3,3,3,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,6,1,7,1,1,3,3,3,3,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,571,5/9/2019 12:33,1,2,2,1,2,2,2,3,2,1,2,2,2,1,1,2,1,3,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1,2,1,2,3,1,1,2,1,2,2,2,2,1,1,1,1,1,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,330,5/9/2019 12:33,2,2,2,1,3,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,3,3,2,3,2,3,1,1,1,1,2,1,2,2,1,1,1,4,1,1,1,1,1,1,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,84,5/9/2019 12:34,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,3,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,626,5/9/2019 12:35,3,2,2,1,2,4,1,2,1,2,2,1,2,1,2,2,2,1,4,3,2,2,2,2,1,3,2,3,3,3,4,3,2,4,1,1,2,2,2,2,2,2,3,2,2,3,2,2,3,2,1,2,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,404,5/9/2019 12:35,3,4,2,3,4,4,4,4,4,4,4,4,3,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,3,4,3,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,712,5/9/2019 12:35,2,3,2,1,2,1,2,1,1,5,5,3,1,3,2,3,1,4,2,2,2,2,1,1,2,1,2,1,2,4,4,6,6,6,2,2,2,1,1,1,2,2,6,5,2,2,2,1,1,2,1,1,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,392,5/9/2019 12:35,4,2,3,2,1,2,2,1,2,3,3,2,2,2,2,2,1,1,2,3,3,3,2,2,2,2,1,2,1,2,3,2,2,4,1,1,3,2,2,2,1,2,5,5,4,3,5,2,2,1,2,2,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,833,5/9/2019 12:39,2,2,3,4,3,2,2,4,3,4,4,4,3,3,4,4,3,4,2,2,2,3,3,3,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,1438,5/9/2019 12:49,2,2,2,2,2,3,2,2,2,4,4,6,2,4,4,4,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,2,2,3,2,1,2,2,2,6,2,5,6,3,2,4,2,2,2,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,1086,5/9/2019 12:57,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,2,2,3,2,3,1,1,1,1,1,1,2,2,2,4,3,3,2,3,2,1,2,2,,,,
ACCT 3021 TR2_Sp19,UG,Intermediate,C,FK,216,5/12/2019 21:45,2,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,2,3,3,2,2,1,1,1,,,,
ACCT 3021_TR11_Sp19,UG,Intermediate,C,FK,1661,5/9/2019 8:50,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,3,3,2,2,3,2,3,2,2,3,3,2,1,2,,,,
ACCT 3021_TR11_Sp19,UG,Intermediate,C,FK,463,5/9/2019 9:19,1,2,2,1,1,2,1,2,1,3,2,3,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,3,3,3,1,6,2,2,1,2,1,1,,,,
ACCT 3021_TR11_Sp19,UG,Intermediate,C,FK,628,5/9/2019 9:20,3,3,2,3,2,4,3,2,2,3,2,2,2,3,3,2,3,4,3,3,3,3,3,3,2,2,3,2,2,4,4,3,3,3,2,2,3,3,3,3,3,2,3,5,2,2,3,3,3,2,3,2,,,,
ACCT 3021_TR11_Sp19,UG,Intermediate,C,FK,390,5/9/2019 9:20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,6,6,6,6,6,1,1,1,1,1,1,1,1,4,4,3,5,1,1,1,1,1,1,,,,
ACCT 3021_TR11_Sp19,UG,Intermediate,C,FK,459,5/9/2019 9:21,2,2,2,1,1,1,2,2,2,6,5,3,2,3,2,3,2,2,1,1,1,1,2,2,2,2,1,2,1,3,3,2,4,2,1,3,2,2,2,2,2,1,5,2,2,6,2,2,2,2,2,2,,,,
ACCT 3021_TR11_Sp19,UG,Intermediate,C,FK,531,5/9/2019 9:21,3,3,3,3,3,3,3,2,2,4,4,4,2,3,3,4,3,4,3,4,4,3,3,3,2,3,2,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,5,4,4,4,4,4,3,,,,
